"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1";"C_0402_1005Metric";1;"100nF";;;
2;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
3;"R1";"R_0201_0603Metric";1;"160R";;;
4;"J1";"USB_A_Molex_67643_Horizontal";1;"USB_A";;;
5;"D1";"LED_0201_0603Metric";1;"RED 2V";;;
